Timestamp,Sensor ID,Student ID,Instrument Type,Pitch (Hz),Rhythm (BPM),Dynamics (dB),Note Duration (s),Pitch Accuracy (%),Rhythm Accuracy (%),Teaching Effectiveness Rating,Lesson Type,Student Engagement Level,Teacher Feedback,Environmental Factors,Performance Score,Target
2024-12-20 01:42:00,Sensor_002,Student_013,Drums,457.6757617754683,72.6832175887529,72.3734070661229,1.9154360381220186,80.83970857819176,84.52550501633199,5,Beginner Lesson,High,Excellent performance,Slight Background Noise,82.68260679726188,1
2024-12-20 07:15:00,Sensor_003,Student_020,Piano,981.9731090518286,178.59303252001575,73.71442102156303,1.1405714901176958,89.58520179829075,97.91395926398745,5,Practice Session,Medium,Good rhythm,Slight Background Noise,93.7495805311391,0
2024-12-20 05:48:00,Sensor_002,Student_004,Guitar,360.6872718898353,113.19277049323419,79.54337206355208,0.5944114630458892,83.63446586456313,95.67000161690514,5,Advanced Lesson,High,Needs improvement,Slight Background Noise,89.65223374073413,1
2024-12-20 04:30:00,Sensor_002,Student_010,Piano,754.5551526581447,65.73969844729265,76.85037441756792,1.0261342628791377,94.86163079262761,93.99410412198952,4,Advanced Lesson,High,Excellent performance,Quiet,94.42786745730857,0
2024-12-20 01:46:00,Sensor_002,Student_003,Piano,857.1525824078932,64.5626217884946,92.70679988252522,1.8548973282308108,96.95855767526697,92.33888054769004,4,Practice Session,Medium,Excellent performance,Slight Background Noise,94.6487191114785,0
2024-12-20 01:11:00,Sensor_001,Student_009,Guitar,232.94679622341732,149.54487089782063,52.47484267468333,0.5169718483950705,90.91170365338296,97.26931460682927,5,Advanced Lesson,Medium,Excellent performance,Slight Background Noise,94.09050913010611,0
2024-12-20 03:08:00,Sensor_001,Student_013,Piano,736.3083666835298,139.08426410444167,91.66585357365062,0.5851226696388264,99.63414685042284,84.46124123085514,5,Beginner Lesson,Medium,Good rhythm,Slight Background Noise,92.04769404063899,0
2024-12-20 00:20:00,Sensor_001,Student_018,Drums,961.2399794842615,156.2556669753105,92.1962306305862,0.22345322196275075,89.0095714294119,97.46217685528455,5,Advanced Lesson,High,Good rhythm,Noisy,93.23587414234822,0
2024-12-20 01:42:00,Sensor_003,Student_015,Piano,299.37597338244746,72.64410407433671,64.24540107654803,0.22554208891238092,90.2673642044983,95.78984596848105,5,Advanced Lesson,Low,Needs improvement,Slight Background Noise,93.02860508648968,0
2024-12-20 02:01:00,Sensor_005,Student_004,Guitar,916.9770421480306,64.2685040442658,73.14259775079253,1.6929049285253226,99.784355079155,94.96321652775372,5,Practice Session,High,Excellent performance,Quiet,97.37378580345435,0
2024-12-20 07:46:00,Sensor_002,Student_015,Drums,675.8213099015488,121.02951473370942,71.92692442687178,1.5178206923173205,84.63096871930098,91.22511356149849,5,Beginner Lesson,Low,Excellent performance,Quiet,87.92804114039973,1
2024-12-20 03:34:00,Sensor_002,Student_002,Guitar,693.2836654899793,106.51142777793234,60.925491717706514,0.8390739016135249,98.85091879353811,84.924883219412,5,Practice Session,Medium,Good rhythm,Slight Background Noise,91.88790100647506,0
2024-12-20 05:30:00,Sensor_003,Student_015,Guitar,690.3553398924847,115.43363240051468,69.83984235431582,1.456960083009631,80.85675110238226,88.47095831983793,5,Advanced Lesson,Low,Good rhythm,Quiet,84.6638547111101,1
2024-12-20 07:38:00,Sensor_002,Student_008,Violin,439.0687090698511,178.99060906443287,52.21938860854272,0.9113706673579465,88.92773780526389,95.87141309077603,5,Advanced Lesson,Medium,Needs improvement,Noisy,92.39957544801996,0
2024-12-20 01:27:00,Sensor_001,Student_008,Violin,948.1614522395678,176.48999492048043,63.89110363908672,1.9152142327960895,81.40007024266131,80.63556968714649,5,Practice Session,Medium,Needs improvement,Slight Background Noise,81.01781996490391,1
2024-12-20 06:12:00,Sensor_005,Student_017,Guitar,957.880370104831,173.07784676078313,90.8341087725359,1.9406948265668627,94.58469485827285,95.64101538527517,5,Practice Session,Low,Good rhythm,Quiet,95.112855121774,0
2024-12-20 01:39:00,Sensor_004,Student_012,Guitar,700.2437281711582,154.06112121212087,64.22811508814488,0.9070287964568182,92.16817871760036,84.80141480975134,5,Practice Session,Medium,Excellent performance,Quiet,88.48479676367585,1
2024-12-20 05:59:00,Sensor_002,Student_019,Guitar,826.7381807532918,102.58096323082685,90.91033343741238,1.7375994314135625,94.13268526935192,82.88618401443206,5,Beginner Lesson,Low,Needs improvement,Slight Background Noise,88.509434641892,1
2024-12-20 02:31:00,Sensor_001,Student_010,Violin,689.8063887049263,109.4557116315326,76.57997323022154,1.5915602750554392,87.48960799936035,82.31402636360605,5,Advanced Lesson,Medium,Good rhythm,Quiet,84.9018171814832,1
2024-12-20 02:10:00,Sensor_004,Student_009,Violin,587.5187580592325,125.95392524627094,93.993133868058,0.7579998869092208,87.3896386806276,80.5450002390163,5,Practice Session,High,Good rhythm,Slight Background Noise,83.96731945982195,1
2024-12-20 02:29:00,Sensor_005,Student_005,Piano,728.6560946394005,159.6641347685808,78.73897771322076,0.6176716920219908,80.9063855792179,90.47172970442907,4,Advanced Lesson,High,Excellent performance,Quiet,85.68905764182348,1
2024-12-20 05:08:00,Sensor_004,Student_006,Piano,642.4011620735668,68.24553990219214,51.48341115323699,1.024822370707101,86.99889879059279,84.36519745387459,5,Beginner Lesson,Medium,Good rhythm,Noisy,85.68204812223368,1
2024-12-20 04:17:00,Sensor_001,Student_020,Guitar,677.980690105544,110.91562630618657,83.77101037735446,1.6064279131059311,98.5857680452412,99.78863531559263,5,Beginner Lesson,Medium,Good rhythm,Quiet,99.1872016804169,0
